symbol;yahoo finance
IDXG;https://query1.finance.yahoo.com/v7/finance/download/IDXG?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
XENT;https://query1.finance.yahoo.com/v7/finance/download/XENT?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INTX;https://query1.finance.yahoo.com/v7/finance/download/INTX?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IVAC;https://query1.finance.yahoo.com/v7/finance/download/IVAC?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INTL;https://query1.finance.yahoo.com/v7/finance/download/INTL?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ITCI;https://query1.finance.yahoo.com/v7/finance/download/ITCI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IIN;https://query1.finance.yahoo.com/v7/finance/download/IIN?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
INTU;https://query1.finance.yahoo.com/v7/finance/download/INTU?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ISRG;https://query1.finance.yahoo.com/v7/finance/download/ISRG?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PLW;https://query1.finance.yahoo.com/v7/finance/download/PLW?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ADRA;https://query1.finance.yahoo.com/v7/finance/download/ADRA?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ADRD;https://query1.finance.yahoo.com/v7/finance/download/ADRD?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ADRE;https://query1.finance.yahoo.com/v7/finance/download/ADRE?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ADRU;https://query1.finance.yahoo.com/v7/finance/download/ADRU?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PKW;https://query1.finance.yahoo.com/v7/finance/download/PKW?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PFM;https://query1.finance.yahoo.com/v7/finance/download/PFM?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PYZ;https://query1.finance.yahoo.com/v7/finance/download/PYZ?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PEZ;https://query1.finance.yahoo.com/v7/finance/download/PEZ?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PSL;https://query1.finance.yahoo.com/v7/finance/download/PSL?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PIZ;https://query1.finance.yahoo.com/v7/finance/download/PIZ?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PIE;https://query1.finance.yahoo.com/v7/finance/download/PIE?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PXI;https://query1.finance.yahoo.com/v7/finance/download/PXI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PFI;https://query1.finance.yahoo.com/v7/finance/download/PFI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PTH;https://query1.finance.yahoo.com/v7/finance/download/PTH?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
